Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01341","Apples","2019","2019","7021","Annual value","USD","379","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01311","Avocados","2019","2019","7021","Annual value","USD","377.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01312","Bananas","2019","2019","7021","Annual value","USD","280","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0115","Barley","2019","2019","7021","Annual value","USD","223.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01701","Beans, dry","2019","2019","7021","Annual value","USD","651.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01377","Brazil nuts, in shell","2019","2019","7021","Annual value","USD","1046.4","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01702","Broad beans and horse beans, dry","2019","2019","7021","Annual value","USD","1288.5","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2019","2019","7021","Annual value","USD","249.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01372","Cashew nuts, in shell","2019","2019","7021","Annual value","USD","705.9","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01520.01","Cassava, fresh","2019","2019","7021","Annual value","USD","127.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01447","Castor oil seeds","2019","2019","7021","Annual value","USD","686.2","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01640","Cocoa beans","2019","2019","7021","Annual value","USD","2456.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01460","Coconuts, in shell","2019","2019","7021","Annual value","USD","101.1","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01610","Coffee, green","2019","2019","7021","Annual value","USD","1486","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01315","Figs","2019","2019","7021","Annual value","USD","1003.9","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01330","Grapes","2019","2019","7021","Annual value","USD","573.2","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01252","Green garlic","2019","2019","7021","Annual value","USD","2419.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0142","Groundnuts, excluding shelled","2019","2019","7021","Annual value","USD","461.5","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0231","Hen eggs in shell, fresh","2019","2019","7021","Annual value","USD","1220.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01922.01","Jute, raw or retted","2019","2019","7021","Annual value","USD","507","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01322","Lemons and limes","2019","2019","7021","Annual value","USD","263.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01441","Linseed","2019","2019","7021","Annual value","USD","339","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2019","2019","7021","Annual value","USD","119.3","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01316","Mangoes, guavas and mangosteens","2019","2019","7021","Annual value","USD","293.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01630","Maté leaves","2019","2019","7021","Annual value","USD","234","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","02910","Natural honey","2019","2019","7021","Annual value","USD","2724.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01950.01","Natural rubber in primary forms","2019","2019","7021","Annual value","USD","613.1","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0117","Oats","2019","2019","7021","Annual value","USD","116.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01491.01","Oil palm fruit","2019","2019","7021","Annual value","USD","63.1","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01450","Olives","2019","2019","7021","Annual value","USD","671.7","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01253.02","Onions and shallots, dry (excluding dehydrated)","2019","2019","7021","Annual value","USD","362.3","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01323","Oranges","2019","2019","7021","Annual value","USD","141.4","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01929.90","Other fibre crops, raw, n.e.c.","2019","2019","7021","Annual value","USD","528","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01319","Other tropical fruits, n.e.c.","2019","2019","7021","Annual value","USD","504.9","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01317","Papayas","2019","2019","7021","Annual value","USD","235","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01345","Peaches and nectarines","2019","2019","7021","Annual value","USD","531.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01342.01","Pears","2019","2019","7021","Annual value","USD","644.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01705","Peas, dry","2019","2019","7021","Annual value","USD","1085.1","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01651","Pepper (Piper spp.), raw","2019","2019","7021","Annual value","USD","1578.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01359.01","Persimmons","2019","2019","7021","Annual value","USD","441.6","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01318","Pineapples","2019","2019","7021","Annual value","USD","199.2","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01510","Potatoes","2019","2019","7021","Annual value","USD","372.5","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01342.02","Quinces","2019","2019","7021","Annual value","USD","1178.1","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","02211","Raw milk of cattle","2019","2019","7021","Annual value","USD","304.5","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0113","Rice","2019","2019","7021","Annual value","USD","214.3","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0116","Rye","2019","2019","7021","Annual value","USD","179.3","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01921.01","Seed cotton, unginned","2019","2019","7021","Annual value","USD","588.5","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","02941","Shorn wool, greasy, including fleece-washed shorn wool","2019","2019","7021","Annual value","USD","2282.2","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","02944","Silk-worm cocoons suitable for reeling","2019","2019","7021","Annual value","USD","4909","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01929.05","Sisal, raw","2019","2019","7021","Annual value","USD","755.3","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0114","Sorghum","2019","2019","7021","Annual value","USD","96.4","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0141","Soya beans","2019","2019","7021","Annual value","USD","277.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01802","Sugar cane","2019","2019","7021","Annual value","USD","18.4","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2019","2019","7021","Annual value","USD","280","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01530","Sweet potatoes","2019","2019","7021","Annual value","USD","278.9","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01324","Tangerines, mandarins, clementines","2019","2019","7021","Annual value","USD","257.4","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01620","Tea leaves","2019","2019","7021","Annual value","USD","198.2","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01234","Tomatoes","2019","2019","7021","Annual value","USD","366.4","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01191","Triticale","2019","2019","7021","Annual value","USD","130.1","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01499.02","Tung nuts","2019","2019","7021","Annual value","USD","90.4","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01970","Unmanufactured tobacco","2019","2019","7021","Annual value","USD","2210.4","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01376","Walnuts, in shell","2019","2019","7021","Annual value","USD","2488.8","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01221","Watermelons","2019","2019","7021","Annual value","USD","171","A","Official figure"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","0111","Wheat","2019","2019","7021","Annual value","USD","184","A","Official figure"
